Name,sales_in_dollars,market_value_in_dollars,Difference
"Shaanxi Construction Engineering Group",24000000000,2100000000,21900000000
"Hyundai Engineering",24400000000,2800000000,21600000000
"Medipal Holdings",24600000000,3000000000,21600000000
S-Oil,27200000000,5900000000,21300000000
"E-mart ",22400000000,1300000000,21100000000
Enel,96000000000,75100000000,20900000000
"Warner Bros. Discovery",40600000000,19700000000,20900000000
"China Everbright Bank",40500000000,19700000000,20800000000
"International Airlines",31800000000,11100000000,20700000000
"Jeronimo Martins",34600000000,14000000000,20600000000
"Bayer ",51000000000,30500000000,20500000000
"Zhongsheng Group Holdings",25300000000,4900000000,20400000000
Valeo,23800000000,3400000000,20400000000
"St. James's Place",23600000000,3300000000,20300000000
"HF Sinclair",31400000000,11200000000,20200000000
"Ultrapar Participacoes",25500000000,5300000000,20200000000
"Sunac China Holdings",22100000000,2000000000,20100000000
AutoNation,27000000000,6900000000,20100000000
Equinor,102800000000,82900000000,19900000000
"Aluminum Corp of China",31900000000,12000000000,19900000000
TUI,23500000000,3600000000,19900000000
Avnet,24700000000,4800000000,19900000000
"MOL Hungarian Oil",25300000000,5500000000,19800000000
"Bank of Communications",78800000000,59200000000,19600000000
"China Citic Bank",54100000000,34700000000,19400000000
"China Pacific Insurance",46600000000,27200000000,19400000000
"Ampol ",24900000000,5600000000,19300000000
TelefÃ³nica,44200000000,25000000000,19200000000
"Penske Automotive",29600000000,10400000000,19200000000
"China Telecom",71400000000,52300000000,19100000000
"Daiwa House Industry",36000000000,16900000000,19100000000
"Adecco Group",25800000000,6700000000,19100000000
"China National Chemical",25200000000,6600000000,18600000000
"Sumitomo Electric",30400000000,11900000000,18500000000
"PGE Polska Grupa Energetyczna",22800000000,4300000000,18500000000
Wistron,28500000000,10000000000,18500000000
Macy's,23900000000,5400000000,18500000000
"Jabil Circuit",32100000000,13900000000,18200000000
"CJ Cheiljedang",22100000000,3900000000,18200000000
Parkland,23200000000,5100000000,18100000000
"WPG Holdings",22600000000,4600000000,18000000000
Marubeni,50100000000,32200000000,17900000000
Woolworths,43600000000,25800000000,17800000000
"China Communications Services",21000000000,3400000000,17600000000
"Hunan Valin Steel",22500000000,5000000000,17500000000
DCC,24900000000,7400000000,17500000000
"Alfresa Holdings",19800000000,2500000000,17300000000
"Randstad N.V.",26900000000,9800000000,17100000000
"LG Chem",40000000000,23000000000,17000000000
"China Grand Automotive Services",18700000000,1700000000,17000000000
"WT Microelectronics",21200000000,4200000000,17000000000
"Subaru Corporation",32500000000,15600000000,16900000000
"WH Group ",26200000000,9300000000,16900000000
"Yunnan Copper Co. Ltd.",20600000000,4000000000,16600000000
"Shanghai Pudong Development",49700000000,33200000000,16500000000
Orange,47700000000,31200000000,16500000000
"Hengli Petrochemical",31800000000,15300000000,16500000000
"Sabanci Holding",23100000000,6600000000,16500000000
Empire,22800000000,6300000000,16500000000
"Rite Aid",23500000000,7000000000,16500000000
"Jointown Pharmaceutical Group",20700000000,4300000000,16400000000
"GS Holdings",19300000000,3100000000,16200000000
"Hyundai Steel",19300000000,3100000000,16200000000
Lear,23600000000,7400000000,16200000000
Goodyear,19700000000,3700000000,16000000000
Flex,28100000000,12300000000,15800000000
Echostar,20600000000,4800000000,15800000000
"Hengyi Petrochemical ",19400000000,3600000000,15800000000
"Greentown China Holdings",18600000000,3000000000,15600000000
Sumitomo,47800000000,32300000000,15500000000
"Chubu Electric Power",25000000000,9500000000,15500000000
"Molina Healthcare",35900000000,20400000000,15500000000
Scor,21400000000,5900000000,15500000000
"Prudential Financial",58900000000,43500000000,15400000000
"Tohoku Electric Power",19500000000,4100000000,15400000000
Mitsui,92100000000,76800000000,15300000000
"Charter Communications",54600000000,39300000000,15300000000
"China Southern Airlines",22500000000,7300000000,15200000000
"Seazen Group",16800000000,1600000000,15200000000
"Mitsubishi Motors",19300000000,4200000000,15100000000
Hanwa,16800000000,1700000000,15100000000
"Suzuki Motor",37200000000,22200000000,15000000000
CarMax,26500000000,11500000000,15000000000
"LS Corp",18400000000,3400000000,15000000000
Manpower,18600000000,3700000000,14900000000
MetLife,67600000000,52800000000,14800000000
"Standard Chartered",40100000000,25300000000,14800000000
"Cosmo Energy Holdings",18900000000,4100000000,14800000000
"Samsung C&T",32200000000,17500000000,14700000000
"MS&AD Insurance",43000000000,28400000000,14600000000
"Couche Tard",68000000000,53400000000,14600000000
STRABAG,19100000000,4500000000,14600000000
Umicore,19700000000,5100000000,14600000000
Kohl's,17500000000,2900000000,14600000000
"Sumec Corporation",16100000000,1500000000,14600000000
"CK Hutchison",35200000000,20700000000,14500000000
"Hyundai Glovis",19700000000,5300000000,14400000000
"Delek US Holdings",16200000000,1800000000,14400000000
CRRC,32400000000,18100000000,14300000000
"China Merchants Shekou Industrial Zone Holdings",28600000000,14300000000,14300000000
Whirlpool,19300000000,5000000000,14300000000
"KB Financial Group",36800000000,22600000000,14200000000
Aurubis,17900000000,3700000000,14200000000
"Viva Energy Group",17800000000,3600000000,14200000000
"Digital China Group",17000000000,2800000000,14200000000
Suzuken,16500000000,2300000000,14200000000
"Ningbo Jintian Copper (Group)",15500000000,1300000000,14200000000
"Swiss Re ",49400000000,35300000000,14100000000
"Iveco Group",17500000000,3400000000,14100000000
"Kansai Electric Power",28100000000,14100000000,14000000000
"Isuzu Motors",23400000000,9400000000,14000000000
"China International Marine",18600000000,4600000000,14000000000
Cencosud,19700000000,5700000000,14000000000
Allstate,58600000000,44700000000,13900000000
"Group 1 Automotive",18200000000,4300000000,13900000000
Aegon,25800000000,12000000000,13800000000
"Guangzhou Automobile Group",18300000000,4600000000,13700000000
Cleveland-Cliffs,21900000000,8300000000,13600000000
Eiffage,24200000000,10700000000,13500000000
Voestalpine,18400000000,4900000000,13500000000
HBIS,16700000000,3200000000,13500000000
"Sumitomo Chemical",16900000000,3400000000,13500000000
"Angang Steel",15200000000,1800000000,13400000000
Vodafone,39800000000,26500000000,13300000000
"KT ",20100000000,6800000000,13300000000
"Coles Group",27900000000,14600000000,13300000000
"Datang International Power",17100000000,3800000000,13300000000
"PTT Global Chemical",17900000000,4700000000,13200000000
"Siemens Energy",34600000000,21500000000,13100000000
"China Taiping Insurance",17400000000,4300000000,13100000000
"Grupo Galicia",19500000000,6500000000,13000000000
"Ag Anadolu Grubu Holding Anonim Sirketi",15800000000,2800000000,13000000000
"LG Display",16800000000,3800000000,13000000000
Schaeffler,17600000000,4600000000,13000000000
"Johnson Matthey",17300000000,4300000000,13000000000
"WESCO International",22200000000,9400000000,12800000000
"Lumen Technologies",14100000000,1300000000,12800000000
ALFA,16400000000,3600000000,12800000000
"Kobe Steel",17600000000,4900000000,12700000000
Sharp,16100000000,3400000000,12700000000
"Weichai Power",30100000000,17500000000,12600000000
Adient,15200000000,2600000000,12600000000
"China Coal Energy",27300000000,14800000000,12500000000
Fresenius,29600000000,17100000000,12500000000
BBMG,13500000000,1000000000,12500000000
Doosan,14600000000,2100000000,12500000000
"Power Corp of Canada",31400000000,19000000000,12400000000
"Longfor Group Holdings",25400000000,13000000000,12400000000
"Shanghai Electric Group",15800000000,3400000000,12400000000
"Beijing Shougang",15900000000,3500000000,12400000000
"China Construction Bank",199800000000,187500000000,12300000000
"GD Power Development",25000000000,12800000000,12200000000
"TCL ",24300000000,12100000000,12200000000
"ENN Natural Gas",20000000000,7800000000,12200000000
"New Hope Liuhe",18300000000,6100000000,12200000000
"Murphy USA",21300000000,9200000000,12100000000
"Geely Automobile Holdings",25200000000,13200000000,12000000000
Halkbank,15800000000,3900000000,11900000000
"Telecom Italia",17600000000,5700000000,11900000000
"China Nuclear Engineering Corporation",15200000000,3300000000,11900000000
Rexel,20700000000,8900000000,11800000000
"BBVA-Banco Bilbao Vizcaya",75200000000,63500000000,11700000000
Sompo,31700000000,20000000000,11700000000
"Lincoln National",16800000000,5100000000,11700000000
"Tongling Nonferrous Metals",18900000000,7200000000,11700000000
"New China Life Insurance",18900000000,7300000000,11600000000
"Air Canada",16400000000,4800000000,11600000000
"Charoen Pokphand Group",16500000000,4900000000,11600000000
"NIPPON EXPRESS HOLDINGS",15800000000,4200000000,11600000000
Alstom,19100000000,7600000000,11500000000
"Lotte Chemical",15200000000,3700000000,11500000000
"Jones Lang LaSalle",21200000000,9800000000,11400000000
"Indorama Ventures",15300000000,3900000000,11400000000
"LG Innotek Co.,",15600000000,4200000000,11400000000
Nomura,28800000000,17500000000,11300000000
"NRG Energy",28500000000,17200000000,11300000000
"CP All",25900000000,14600000000,11300000000
"Hellenic Petroleum",14100000000,2800000000,11300000000
Ricoh,16200000000,4900000000,11300000000
"S.F. Holding",36600000000,25400000000,11200000000
"Woori Financial Group",19100000000,8000000000,11100000000
Acciona,18400000000,7300000000,11100000000
"Motor Oil",14400000000,3300000000,11100000000
"Anhui Construction Engineering Group",12300000000,1200000000,11100000000
"Metalurgica Gerdau",13400000000,2300000000,11100000000
"Zhejiang Construction Investment Group",12500000000,1400000000,11100000000
"China Reinsurance Group",14400000000,3400000000,11000000000
Braskem,14000000000,3000000000,11000000000
"Fairfax Financial",37900000000,27000000000,10900000000
"Dongfeng Motor Group",14000000000,3100000000,10900000000
Sodexo,24500000000,13700000000,10800000000
"T&D Holdings",19300000000,8600000000,10700000000
"Jiangsu Eastern Shenghong",19700000000,9000000000,10700000000
Sojitz,16700000000,6000000000,10700000000
Inventec,16700000000,6000000000,10700000000
"China Eastern Airlines",16000000000,5500000000,10500000000
"Asbury Automotive Group",15400000000,4900000000,10500000000
"Thai Oil",13400000000,2900000000,10500000000
"Nippon Telegraph & Tel",92500000000,82100000000,10400000000
"Sinotrans Ltd.",14400000000,4000000000,10400000000
"Huadian Power International",16300000000,6000000000,10300000000
"Korea Shipbuilding & Offshore Engineering",17300000000,7000000000,10300000000
Lotte,11700000000,1400000000,10300000000
Sasol,14900000000,4700000000,10200000000
"Shinhan Financial Group",28600000000,18500000000,10100000000
Kajima,18400000000,8300000000,10100000000
"Hubei Biocause Pharmaceutical",11800000000,1700000000,10100000000
"Huaxia Bank",25300000000,15300000000,10000000000
"Southwest Airlines",26700000000,16700000000,10000000000
"Asahi Kasei",19300000000,9300000000,10000000000
Kingfisher,16200000000,6200000000,10000000000
"China Zheshang Bank",18200000000,8300000000,9900000000
"Raiffeisen Bank International",16200000000,6300000000,9900000000
Ternium,18500000000,8600000000,9900000000
Shimizu,13900000000,4000000000,9900000000
"CNH Industrial",24200000000,14400000000,9800000000
"Kyushu Electric Power",14800000000,5000000000,9800000000
VakifBank,16300000000,6600000000,9700000000
"Tokyo Gas",18400000000,8700000000,9700000000
"US Steel",17800000000,8100000000,9700000000
"Kyndryl Holdings",16100000000,6400000000,9700000000
Gemdale,12500000000,2900000000,9600000000
"Lotte Shopping",11000000000,1400000000,9600000000
Aramark,18300000000,8800000000,9500000000
"Midea Real Estate Holding",10500000000,1000000000,9500000000
Heineken,32800000000,23400000000,9400000000
"BJ's Wholesale Club",20000000000,10600000000,9400000000
"Trina Solar",15300000000,6000000000,9300000000
"Hyundai Marine & Fire",11100000000,1900000000,9200000000
"Old Mutual",11900000000,2700000000,9200000000
"Tata Motors",52900000000,43800000000,9100000000
"Chugoku Electric Power",11300000000,2400000000,8900000000
"Toray Industries",17000000000,8100000000,8900000000
Fluor,15500000000,6600000000,8900000000
"BT Group",25400000000,16600000000,8800000000
"Great Wall Motor ",25100000000,16400000000,8700000000
ICBC,223800000000,215200000000,8600000000
"China Jinmao",10200000000,1600000000,8600000000
"Guangdong Construction Engineering Group",10900000000,2300000000,8600000000
Neste,24300000000,15800000000,8500000000
"First Pacific",10500000000,2000000000,8500000000
"Tenet Healthcare",20900000000,12500000000,8400000000
"Hindalco Industries",26100000000,17700000000,8400000000
"Grupo Aval",11300000000,2900000000,8400000000
Skanska,15800000000,7500000000,8300000000
"Hana Financial Group",21500000000,13300000000,8200000000
"Altice USA",9200000000,1000000000,8200000000
"Marks & Spencer",15400000000,7200000000,8200000000
Hera,13600000000,5400000000,8200000000
"NN Group",21600000000,13500000000,8100000000
"Industrial Bank ",58900000000,50900000000,8000000000
"Yuexiu Property ",11300000000,3300000000,8000000000
Avolta,14200000000,6200000000,8000000000
SÃ¼dzucker,11100000000,3100000000,8000000000
"Grupo Comercial Chedraui SAB de CV Class B",15200000000,7200000000,8000000000
"Vipshop Holdings",15900000000,8000000000,7900000000
"AviChina Industry & Technology",11900000000,4000000000,7900000000
"Avis Budget Group",12000000000,4200000000,7800000000
"Compagnie de l'Odet",14800000000,7000000000,7800000000
Obayashi,16100000000,8300000000,7800000000
"LyondellBasell Industries",40600000000,32900000000,7700000000
"Sime Darby",11900000000,4200000000,7700000000
"Yamaha Motor",16900000000,9300000000,7600000000
M&G,13800000000,6200000000,7600000000
"C.H. Robinson",17400000000,9800000000,7600000000
"Brookfield Business",9700000000,2100000000,7600000000
"Shanghai Tunnel Engineering Co. Ltd.",10700000000,3100000000,7600000000
"Dollar General",38700000000,31200000000,7500000000
"Db Insurance",12300000000,4800000000,7500000000
"RiseSun Real Estate Development",8700000000,1200000000,7500000000
Saint-Gobain,51800000000,44400000000,7400000000
Ecopetrol,32300000000,24900000000,7400000000
"Turkish Airlines",21200000000,13800000000,7400000000
"Industrial Bank of Korea",15600000000,8200000000,7400000000
"Qantas Airways",13700000000,6400000000,7300000000
"Adris grupa d.d. Pref.",8300000000,1000000000,7300000000
"China Bohai Bank",9700000000,2500000000,7200000000
"Sekisui House",21900000000,14800000000,7100000000
"Jinke Property Group",8300000000,1200000000,7100000000
"Grupo Bolivar",8400000000,1400000000,7000000000
"Unipol Gruppo",14100000000,7200000000,6900000000
WPP,18500000000,11600000000,6900000000
A2A,13800000000,6900000000,6900000000
"Drax Group plc",9700000000,2800000000,6900000000
"Yara International",14600000000,7700000000,6900000000
"Kawasaki Heavy Industries",12800000000,5900000000,6900000000
Petrobras,99400000000,92600000000,6800000000
"Korean Air",12700000000,5900000000,6800000000
Brenntag,17700000000,10900000000,6800000000
BorgWarner,15300000000,8500000000,6800000000
Gap,14900000000,8100000000,6800000000
"Reinsurance Group of America",20700000000,14000000000,6700000000
Quinenco,12400000000,5800000000,6600000000
"YPF ",18000000000,11500000000,6500000000
AGC,14000000000,7500000000,6500000000
"Bausch Health Companies",9000000000,2500000000,6500000000
ZTE,17400000000,11100000000,6300000000
"Sunshine Insurance Group",11000000000,4700000000,6300000000
"Canadian Tire Corporation",12200000000,5900000000,6300000000
"Jinko Solar",16500000000,10300000000,6200000000
"Zhongyuan Bank",7900000000,1700000000,6200000000
"Migdal Insurance",7500000000,1300000000,6200000000
Isbank,17600000000,11500000000,6100000000
"Galp Energia",22300000000,16200000000,6100000000
"Evonik Industries",16300000000,10200000000,6100000000
"New World Development",9300000000,3200000000,6100000000
"KION Group",12500000000,6400000000,6100000000
"Beijing Enterprises",10500000000,4500000000,6000000000
Solvay,9900000000,3900000000,6000000000
"Huishang Bank",10200000000,4300000000,5900000000
"Tianshan Material",13800000000,7900000000,5900000000
"Zhuhai Huafa Properties",9000000000,3100000000,5900000000
Commerzbank,25700000000,19900000000,5800000000
WestRock,19500000000,13700000000,5800000000
Cemex,17500000000,11700000000,5800000000
AGCO,14000000000,8200000000,5800000000
"Siam Cement",14100000000,8300000000,5800000000
"Guangzhou Baiyunshan Pharmaceutical Holdings",10700000000,4900000000,5800000000
"CVR Energy",8800000000,3000000000,5800000000
"Samsung Life Insurance",17500000000,11800000000,5700000000
"Hangzhou Binjiang Real Estate Group Co., Ltd.",10100000000,4400000000,5700000000
"Electric Power Development",8700000000,3000000000,5700000000
"Sichuan Road & Bridge",14800000000,9200000000,5600000000
Taisei,12200000000,6600000000,5600000000
"Erste Group Bank",26100000000,20600000000,5500000000
"Norsk Hydro",18100000000,12600000000,5500000000
Uni-President,19400000000,14000000000,5400000000
"Gerdau (Cosigua)",13400000000,8000000000,5400000000
"China Mengniu Dairy",13900000000,8500000000,5400000000
Covestro,15300000000,9900000000,5400000000
"China Gas Holdings",10900000000,5500000000,5400000000
"Anhui Conch Cement",19900000000,14600000000,5300000000
"SK Telecom",13400000000,8100000000,5300000000
Falabella,13100000000,7800000000,5300000000
"Berry Global Group",12200000000,6900000000,5300000000
Kesko,12700000000,7400000000,5300000000
"China Resources Land",35200000000,30000000000,5200000000
NEC,24000000000,18800000000,5200000000
Colruyt,10800000000,5600000000,5200000000
"Bluescope Steel",11500000000,6300000000,5200000000
"Momentum Metropolitan Holdings",6800000000,1600000000,5200000000
"All Nippon Airways",14200000000,9100000000,5100000000
"Osaka Gas",14400000000,9300000000,5100000000
Storebrand,9700000000,4600000000,5100000000
SSAB,10800000000,5700000000,5100000000
"CP Axtra",14000000000,8900000000,5100000000
"Daito Trust Construction",12000000000,6900000000,5100000000
"Dollar Tree",30600000000,25600000000,5000000000
"ENN Energy Holdings",16100000000,11100000000,5000000000
"Sinotruk Hong Kong",12100000000,7100000000,5000000000
"Munich Re",70000000000,65100000000,4900000000
"Hewlett Packard Enterprise",28100000000,23200000000,4900000000
Ericsson,24000000000,19100000000,4900000000
"Cathay Pacific Airways",12100000000,7200000000,4900000000
"China Resources Gas Group",12900000000,8000000000,4900000000
"Open House",8400000000,3500000000,4900000000
"Poste Italiane",22200000000,17400000000,4800000000
"BIM Birlesik Magazalar",13800000000,9000000000,4800000000
"Harel Insurance Investments & Financial Services",6700000000,1900000000,4800000000
"Vienna Insurance Group",13400000000,8700000000,4700000000
"Sumitomo Forestry Co.,",12500000000,7800000000,4700000000
"Steel Authority of India",12900000000,8300000000,4600000000
"China Life Insurance",51600000000,47100000000,4500000000
