Name,assets_in_dollars
"Bank of Greece",250200000000
"CVS Health",249700000000
"Sun Life Financial",247400000000
"China Bohai Bank",244600000000
"Alibaba Group",244200000000
M&G,240300000000
"China Communications Construction",239200000000
"Brighthouse Financial",238800000000
Euronext,238500000000
"China Railway Construction",236500000000
"Emirates NBD",234900000000
"Samsung Life Insurance",233500000000
"NN Group",230000000000
"Tencent Holdings",227800000000
Sony,225400000000
"China Cinda Asset Management",224800000000
Maybank,223700000000
Stellantis,223300000000
"Banco BPM",223300000000
"Al Rajhi Bank",222900000000
"Meta Platforms",222800000000
Pfizer,221100000000
"Anheuser-Busch InBev",221000000000
"Citizens Financial Group",220400000000
"Hyundai Motor",219800000000
"Raiffeisen Bank International",219700000000
"St. James's Place",219600000000
"First Citizens Bank (NC)",217800000000
"Citic Securities",216900000000
"Fukuoka Financial Group",215700000000
"M&T Bank",215100000000
"ENGIE ",215000000000
"Fifth Third Bank",214500000000
PICC,214000000000
Petrobras,213200000000
"Tokio Marine Holdings",212300000000
Chubb,212200000000
"Daiwa Securities",211600000000
"Reliance Industries",210500000000
Enel,209800000000
"Chongqing Rural Bank",206300000000
"Bank Leumi",203100000000
"China Vanke",202500000000
"Shanghai Rural Commercial Bank",199500000000
"Bank of Baroda",198400000000
"Poly Developments & Holdings Group",197100000000
"Honda Motor",196700000000
"Nippon Telegraph & Tel",195600000000
"Walt Disney",195100000000
"Huntington Bank",193500000000
"Ally Financial",192900000000
Intel,192700000000
"China Taiping Insurance",191900000000
"Punjab National Bank",191700000000
"Bank Hapoalim",190700000000
"Zhongyuan Bank",189800000000
KeyCorp,187500000000
"Guangzhou Rural Commercial Bank",185400000000
"Canara Bank",184000000000
"MS&AD Insurance",183300000000
"Axis Bank",182000000000
"Taiwan Semiconductor",180900000000
"NextEra Energy",179900000000
"Ameriprise Financial",179800000000
"SBI Holdings",179800000000
Talanx,179700000000
"New China Life Insurance",178900000000
"Duke Energy",178700000000
Broadcom,177900000000
"Korea Electric Power",177500000000
"Swiss Re ",173500000000
"Johnson & Johnson",172000000000
"Bank of Ireland",172000000000
Prudential,171600000000
"Power Construction Corporation of China",168100000000
"Union Bank of India",168100000000
"China Resources Land",168000000000
"Standard Bank Group",167600000000
"Asr Nederland",166000000000
"Greenland Holdings Group",165600000000
Iberdrola,164100000000
"GE Aerospace",163900000000
"Bank Of Chengdu",163100000000
"Abu Dhabi Commercial Bank",161900000000
"Shin Kong Financial",161400000000
"Concordia Financial Group",161100000000
SK,160500000000
RTX,160200000000
"CIMB Group Holdings",159600000000
Hanwha,158900000000
"LVMH MoÃ«t Hennessy Louis Vuitton",158700000000
Eni,158300000000
Rakuten,157600000000
"Taiwan Cooperative Financial",156500000000
Siemens,156300000000
"Northern Trust",156100000000
Vodafone,155900000000
Mitsubishi,155000000000
"Regions Financial",154900000000
"Discover Financial Services",152700000000
"Shengjing Bank",152300000000
"British American Tobacco",151300000000
"BPER Banca",151300000000
"AIB Group",150600000000
NestlÃ©,150400000000
"Voya Financial",149800000000
AbbVie,148900000000
Cigna,148400000000
"CK Hutchison",148400000000
"Charter Communications",148000000000
"Bank of Changsha",146800000000
"First Financial Holding",144300000000
Banorte,144100000000
"Mebuki Financial Group",143900000000
"Mega Financial Holding",143200000000
CNOOC,141800000000
"CNPC Capital",141000000000
Enbridge,140900000000
"Chiba Bank",140900000000
"Southern Company",140100000000
"Sanofi ",139700000000
"Sunac China Holdings",137900000000
Equinor,137200000000
IBM,137200000000
Oracle,137100000000
"Bank Mandiri",136500000000
"China Huarong Asset Management",136500000000
"Banca MPS",135500000000
Renault,134700000000
Boeing,134500000000
"Saudi Electricity",133500000000
"SAIC Motor",132800000000
AIRBUS,132600000000
"Interactive Brokers Group",132200000000
"CME Group",132100000000
IntercontinentalExchange,131400000000
"Nissan Motor",131200000000
VINCI,131000000000
"Guotai Junan Securities",130500000000
"Bayer ",129500000000
FirstRand,127700000000
"Huatai Securities",127700000000
PG&E,127600000000
"Hua Nan Financial",126100000000
Orange,125600000000
"Bank Rakyat Indonesia (BRI)",125500000000
"Bangkok Bank",124900000000
Bankinter,124800000000
Aflac,124600000000
"Power Finance",124600000000
"National Bank of Kuwait ",124600000000
"PKO Bank Polski",124600000000
"Mizrahi Tefahot Bank",124500000000
BlackRock,124000000000
"Glencore International",123900000000
"Xiamen C&D",123400000000
E.ON,123100000000
"Synchrony Financial",121200000000
"Kuwait Finance House",120400000000
"Warner Bros. Discovery",119800000000
"Procter & Gamble",119600000000
"China Development Financial",118900000000
"Bank of Tianjin",118500000000
Kasikornbank,118400000000
"Grupa PZU",118100000000
"Hon Hai Precision ",117900000000
Travelers,117800000000
"China Telecom",117400000000
"E.Sun Financial",116700000000
"National Grid",115000000000
"Julius Baer Group",115000000000
"Harbin Bank",114800000000
"Fosun International",114000000000
"OTP Bank",113700000000
"T&D Holdings",113700000000
"Banco Btg Pactual",113400000000
"New York Community Bancorp",112900000000
"China Energy Engineering",112800000000
TelefÃ³nica,112700000000
"Virgin Money UK",112000000000
"Elevance Health",111900000000
Mitsui,111700000000
"RWE Group",111500000000
"Jyske Bank",111500000000
"Public Bank",111100000000
"Bank of India",110800000000
"BNK Financial Group",110700000000
"Bank of East Asia",110200000000
"Israel Discount Bank",109900000000
Tesla,109200000000
"Hokuhoku Financial Group",108200000000
"Bank of Chongqing",108000000000
"Riyad Bank",107900000000
Orix,107800000000
"Roche Holding",107500000000
"Yuanta Financial Holding",107500000000
"Unicaja Banco",107300000000
"Shizuoka Financial Group",106700000000
"Haitong Securities",106400000000
Ageas,106100000000
"Merck & Co.",105800000000
"John Deere",105600000000
"Banco Comercial Portugues",105600000000
Mediobanca,104800000000
"Sun Hung Kai Properties",104500000000
"Rio Tinto",103500000000
Exelon,103200000000
Salesforce,102800000000
"Absa Group",102500000000
AstraZeneca,102300000000
Sompo,102300000000
"Dominion Energy",102000000000
"Krung Thai Bank",101900000000
Vonovia,101600000000
"Mirae Asset Financial Group",101400000000
"Cisco Systems",101200000000
"Contemporary Amperex Technology",101200000000
"Reinsurance Group of America",100700000000
"Bank Of Guiyang",100200000000
"Taishin Financial Holdings",100100000000
PepsiCo,100000000000
"BHP Group",100000000000
Isbank,100000000000
"Dongguan Rural Commercial Bank",100000000000
"PTT ",99800000000
"Takeda Pharmaceutical",99800000000
Coca-Cola,99400000000
"Bristol Myers Squibb",99000000000
"Longfor Group Holdings",98800000000
"Saudi British Bank",98500000000
"China Merchants Securities",98100000000
"Hachijuni Bank",98000000000
"American Electric",97700000000
"Metallurgical Corp of China",97300000000
"Thermo Fisher Scientific",97100000000
"KoÃ§ Holding",96800000000
VakifBank,96800000000
Allstate,96500000000
"Tokyo Electric Power",96400000000
"AmÃ©rica MÃ³vil",96300000000
Itochu,95700000000
"Indian Bank",95400000000
ConocoPhillips,95300000000
"Chang Hwa Bank",94700000000
"TC Energy",94600000000
Novartis,94300000000
ArcelorMittal,93900000000
"Commercial Bank For Investment & Development Of Vietnam",93900000000
"Legend Holding",93900000000
BYD,93800000000
KDDI,93500000000
"China Galaxy Securities",93500000000
"SCB X Public Company ",93400000000
"GF Securities",93400000000
Prologis,93300000000
"China Unicom",93200000000
Amgen,93000000000
Fiserv,92700000000
Visa,92400000000
"International Holding Company",92200000000
"Kotak Mahindra Bank",92000000000
"BÃ¢loise Group",92000000000
Vale,91500000000
"Annaly Capital Management",91500000000
"Bank Central Asia",91100000000
"China Shenhua Energy",90800000000
Medtronic,90800000000
"Japan Securities",90800000000
"Kraft Heinz Company",90300000000
"SinoPac Financial",90300000000
"Bank of Suzhou",89700000000
Sempra,89600000000
"Kyushu Financial Group",89300000000
"Jardine Matheson",89200000000
"Nishi-nippon Financial Holdings",89100000000
"Rakuten Bank",89100000000
Storebrand,89000000000
Progressive,88900000000
BASF,88300000000
"BCI-Banco Credito",88000000000
"China International Capital",88000000000
"Bank of Zhengzhou",87600000000
"North Pacific Bank",87500000000
Bancolombia,87200000000
"Zions Bancorp",87100000000
"Shenwan Hongyuan Group",86900000000
"Unipol Gruppo",86600000000
Aeon,86500000000
"Qilu Bank",86500000000
"Bank of Qingdao",86200000000
FedEx,86100000000
"Eurobank Ergasias",85700000000
"Dubai Islamic Bank",85600000000
"Marathon Petroleum",85500000000
"Banca Mediolanum",85400000000
"Investor AB",84800000000
"Hirogin Holdings",84500000000
"Walgreens Boots Alliance",84200000000
"Vietin Bank",83800000000
Caterpillar,83700000000
"Edison International",83600000000
Danaher,83400000000
"Piraeus Financial Holdings",83400000000
JD.com,83300000000
PayPal,83300000000
Unilever,83100000000
"Yamaguchi Financial",82900000000
Centene,82600000000
"Dell Technologies",82100000000
"First Horizon",81800000000
MÃ¸ller-Maersk,81600000000
"BDO Unibank",81400000000
"Bank of Guizhou",81300000000
"Raymond James Financial",81200000000
"Fairfax Financial",81100000000
Loews,80900000000
Hitachi,80800000000
"Oil & Natural Gas",80600000000
Linde,80300000000
"Alpha Bank",80300000000
"Veolia Environnement",80200000000
"Bank Pekao",79600000000
"Daimler Truck Holding",79500000000
Quinenco,79400000000
"Grupo Aval",79400000000
Comerica,79400000000
"The Home Depot",79200000000
SAP,78800000000
"China Yangtze Power",78700000000
"China National Nuclear Power",78300000000
"Huaneng Power International",78200000000
"National Bank of Greece",78200000000
Halkbank,78000000000
"Jiangxi Bank",77900000000
"Mondelez International",77600000000
"Western Alliance Bancorp.",77000000000
Posco,76700000000
"SK Hynix",76700000000
"Shimao Property Holdings",76600000000
"Kyoto Financial Group",76500000000
"Phillips 66",76400000000
"Webster Financial",76200000000
"Meritz Financial Group",75900000000
"Shanghai Commercial & Savings Bank",75800000000
"Greentown China Holdings",75500000000
"Delta Air Lines",75000000000
Ecopetrol,74700000000
"Fidelity National Financial",74400000000
"Occidental Petroleum",74300000000
"Deutsche Post",74200000000
"Sabanci Holding",74200000000
GSK,73900000000
"Wuestenrot & Wuerttembergische",73800000000
"Mitsubishi UFJ Lease",73700000000
"Csc Financial",73700000000
"Daishi Hokuetsu Financial Group",73600000000
"Toyota Industries",73200000000
"Suncorp Group",73100000000
Sumitomo,72900000000
"Abbott Laboratories",72500000000
"Korea Investment Holdings",72300000000
"United Airlines Holdings",71900000000
"Helvetia Holding",71900000000
"AGNC Investment",71900000000
"Sunshine Insurance Group",71800000000
Nedbank,71700000000
"EnBW Energie Baden-Wurttemberg",71600000000
"Banque Saudi Fransi",71600000000
"Joint Stock Commercial Bank for Foreign Trade of Vietnam",71500000000
"RHB Bank",71500000000
"DGB Financial Group",71500000000
"Gunma Bank",71500000000
"ORLEN Spolka Akcyjna",71200000000
"AerCap Holdings",71100000000
"Chugin Financial Group,Inc.",71100000000
"Credito Emiliano",71000000000
"Bank of Jiujiang",71000000000
"East West Bancorp",70900000000
"Genworth Financial",70900000000
Popular,70900000000
"Seven & I Holdings",70800000000
"Nippon Steel ",70800000000
"Kinder Morgan",70700000000
"Hartford Financial Services",70600000000
"SBI Sumishin Net Bank",70500000000
"iA Financial Corporation",70200000000
Investec,69900000000
"Banque Cantonale Vaudoise",69900000000
"Hong Leong Financial",69700000000
"Henderson Land",69500000000
"Taiwan Business Bank",69500000000
"77 Bank",69400000000
"Midea Group",68900000000
"Porsche Automobil Holding",68900000000
"China National Building",68900000000
"Telecom Italia",68700000000
"Realty Income",68300000000
"Repsol ",68200000000
Quilter,68000000000
"Advanced Micro Devices",67900000000
"Bendigo & Adelaide Bank",67900000000
"United Parcel Service",67600000000
McKesson,67400000000
"Volvo Group",67300000000
"Union Pacific",67300000000
"Bank Negara Indonesia",67300000000
"ENEOS Holdings",67000000000
EssilorLuxottica,66900000000
"Attijariwafa Bank",66800000000
"American Tower",66700000000
"Consolidated Edison",66700000000
"Anglo American",66500000000
"Costco Wholesale",66300000000
"Starwood Property Trust",66200000000
"Suncor Energy",65900000000
"Bank of Queensland",65900000000
"Guosen Securities",65800000000
NVIDIA,65700000000
"Central Japan Railway",65700000000
"Micron Technology",65700000000
"Honeywell International",65600000000
"Xcel Energy",65600000000
"Luzerner Kantonalbank",65600000000
"Qingdao Rural Commercial Bank",65600000000
"Philip Morris International",65300000000
"Alinma Bank",65300000000
"Mashreq Bank",65300000000
"Cosco Shipping",65200000000
CRRC,65200000000
"BT Group",65200000000
"CK Asset Holdings",65200000000
"Schneider Electric",65100000000
Bouygues,64900000000
"GD Power Development",64800000000
Credicorp,64800000000
"East Japan Railway",64600000000
"Bajaj Finserv ",64500000000
"American Airlines Group",64400000000
"Automatic Data Processing",64200000000
"SK Innovation ",64200000000
Akbank,64100000000
"Bank of Lanzhou",64000000000
"Eli Lilly",63900000000
Cencora,63900000000
"Zhuhai Huafa Properties",63600000000
Saint-Gobain,63300000000
"Old Mutual",62800000000
"AVIC Capital",62800000000
"Mitsui Fudosan",62700000000
"Valero Energy",62600000000
Holcim,62600000000
"Basler Kantonalbank",62600000000
Panasonic,62200000000
KIA,62100000000
Carrefour,62000000000
"Samsung Fire & Marine",62000000000
Heineken,61900000000
"Arab National Bank",61900000000
"Wilmar International",61800000000
"IndusInd Bank",61800000000
Entergy,61600000000
"FIBI Holdings",61500000000
"China Reinsurance Group",61300000000
"Bawag Group",61300000000
"Banca Popolare di Sondrio",61300000000
"Iyogin Holdings,Inc.",61200000000
"LG Chem",61000000000
Gallagher,61000000000
"Valley National Bancorp",61000000000
"Bank of Xi'an",61000000000
"Jefferies Financial ",60900000000
"S&P Global",60500000000
Naspers,60500000000
"Canadian Pacific Kansas City",60300000000
"Edp-energias De Portugal",60200000000
"New World Development",60200000000
Denso,60100000000
Synovus,59800000000
"Kansai Electric Power",59700000000
"Brookfield Reinsurance",59700000000
Tesco,59500000000
"Unibail-Rodamco-Westfield ",59200000000
Marubeni,59000000000
Navient,59000000000
Dow,58800000000
"Hewlett Packard Enterprise",58600000000
"Indian Railway Finance",58600000000
"Yankuang Energy Group",58400000000
TAQA,58000000000
"CGN Power",58000000000
"Indian Oil",57800000000
"China Development Bank Financial Leasing",57800000000
"BOE Technology Group",57700000000
"Wintrust Financial",57600000000
Baidu,57400000000
"China Jinmao",57400000000
L'OrÃ©al,57300000000
"Swire Pacific",57300000000
"Eversource Energy",57300000000
"Compagnie de l'Odet",57100000000
"HCA Healthcare",57000000000
"Metropolitan Bank & Trust",56700000000
"Yuexiu Property ",56600000000
"Gilead Sciences",56300000000
"Deutsche Pfandbriefbank",56200000000
"Canadian Natural Resources",56100000000
Safran,55700000000
Echostar,55600000000
Target,55400000000
"OMV Group",55400000000
"Woodside Energy Group",55400000000
"Newmont ",55300000000
"Weihai City Commercial Bank",55300000000
"General Dynamics",55200000000
"Royal Ahold Delhaize N.V.",55200000000
3M,55200000000
"Lockheed Martin",55000000000
HPB,55000000000
"Archer Daniels Midland",54800000000
"Bank Of Gansu",54800000000
NTPC,54700000000
"Xiamen Bank",54400000000
Freeport-McMoRan,54200000000
"Becton Dickinson",54200000000
"Siemens Energy",54200000000
"TCL ",54200000000
"Sinopharm Group",54100000000
Mapfre,54100000000
"Orient Securities",54100000000
"Baoshan Iron & Steel",53700000000
"Central Bank of India",53700000000
BCE,53600000000
Nutrien,53600000000
"Unum Group",53600000000
"Seazen Group",53600000000
McDonald's,53500000000
"Merck KGaA, Darmstadt, Germany and its affiliates",53500000000
"Canadian National Railway",53500000000
"Hyakugo Bank",53500000000
"Air Liquide",53400000000
"Bharti Airtel",53300000000
Sanlam,53300000000
Qualcomm,53200000000
"Abu Dhabi Islamic Bank",53000000000
"Migdal Insurance",53000000000
EletrobrÃ¡s,52800000000
"Gree Electric Appliances",52700000000
Williams,52700000000
"Rongsheng Petrochemical",52700000000
"Qatar Islamic Bank",52700000000
"Banque Centrale Populaire",52700000000
"Shiga Bank",52700000000
"Arch Capital Group",52500000000
"Public Service Enterprise Group",52400000000
"Keurig Dr Pepper",52300000000
"Columbia Bank",52200000000
"Constellation Energy",52000000000
Paramount,52000000000
"Grupo Bolivar",52000000000
"Vienna Insurance Group",51900000000
"Global Payments",51800000000
"HD HYUNDAI",51800000000
"Aareal Bank",51700000000
"Samsung C&T",51500000000
Accenture,51300000000
FirstEnergy,51300000000
"Rogers Communications",51300000000
XP,51300000000
"Deutsche Lufthansa",51100000000
"Jinshang Bank",51000000000
Gemdale,50900000000
"Tenaga Nasional",50700000000
Kroger,50500000000
"Jiangsu Changshu Rural Commercial Bank",50500000000
"Shenzhen Overseas",50400000000
"BOK Financial",50200000000
"Aozora Bank",50200000000
Humana,50100000000
"Mitsubishi Estate",50100000000
"Mercuries & Associates",50000000000
"Fortis (Canada)",49900000000
"Carnival Corporation",49800000000
"Juroku  Financial Group",49800000000
"Far East Horizon",49600000000
"Old National Bank",49500000000
"TMBThanachart Bank",49500000000
"Cullen/Frost Bankers",49500000000
"Zijin Mining Group",49200000000
"China Coal Energy",49200000000
"PDD Holdings",49100000000
Danone,49100000000
"St. Galler Kantonalbank",49100000000
"Pinnacle Financial Partners",48900000000
Netflix,48800000000
"Yes Bank",48700000000
"San-In Godo Bank",48600000000
"Shanghai Construction ",48500000000
"Analog Devices",48400000000
"Cadence Bank",48300000000
"China Fortune Land Development",48300000000
Inpex,48200000000
Femsa,48000000000
SLB,47900000000
"Everest Re Group",47900000000
"GE Vernova",47900000000
"Northrop Grumman",47800000000
Fresenius,47800000000
"Semiconductor Manufacturing International",47800000000
"JB Financial Group",47800000000
"Marsh McLennan",47600000000
BEKB-BCBE,47600000000
"Tokyo Kiraboshi Financial Group",47500000000
"Cellnex Telecom",47400000000
"Japan Tobacco",47300000000
Viatris,47300000000
"Guangzhou R&F",47200000000
"Top Frontier Investment Holdings",47100000000
"Chubu Electric Power",47000000000
"Grasim Industries",47000000000
AES,47000000000
"Weichai Power",46900000000
Diageo,46800000000
"Toyota Tsusho",46600000000
"Dongfeng Motor Group",46600000000
"Emerson Electric",46400000000
CRH,46300000000
"Shaanxi Construction Engineering Group",46200000000
Richemont,46100000000
"Robinhood Markets",46100000000
"China Tower Corp.",46000000000
"Cardinal Health",45900000000
"DTE Energy",45900000000
F.N.B.,45900000000
"Barrick Gold",45800000000
"EFG International",45800000000
"Xiaomi  ",45700000000
Kering,45700000000
"CNH Industrial",45700000000
"Commercial Bank of Qatar ",45700000000
"LG Electronics",45600000000
"Banco Davivienda ",45600000000
"Grupo Inbursa",45400000000
"UMB Financial",45300000000
"Hyundai Mobis",45200000000
"South State",45100000000
"Aichi Financial Group",45100000000
"China Three Gorges Renewables (Group)",45000000000
Markel,44900000000
KakaoBank,44900000000
"EOG Resources",44800000000
"Nanto Bank",44800000000
"RenaissanceRe Holdings",44700000000
"Samsung Securities",44700000000
"Toho Bank",44700000000
Welltower,44600000000
"Tata Motors",44400000000
Oneok,44400000000
MTR,44400000000
"Clal Insurance Enterprises ",44400000000
"VICI Properties",44200000000
"Brookfield Renewable",44200000000
"Sumitomo Realty",44100000000
"WEC Energy Group",43900000000
"Ogaki Kyoritsu Bank",43900000000
"Nu Holdings",43800000000
"Masraf Al Rayan",43800000000
"China Southern Airlines",43700000000
"IDBI Bank",43700000000
Corteva,43600000000
"Db Insurance",43600000000
"NH Investment & Securities",43600000000
"Johnson Controls International",43500000000
Lowe's,43400000000
Haleon,43400000000
"Hong Kong Exchanges",43400000000
"Novo Nordisk",43300000000
"Phoenix Holdings",43300000000
"Keiyo Bank",43300000000
"Daiwa House Industry",43200000000
"Teck Resources",43100000000
"China Power International Development",43100000000
"Cheniere Energy",42900000000
Nokia,42900000000
"Datang International Power",42900000000
"Pernod Ricard",42800000000
Thales,42800000000
"Teva Pharmaceutical",42800000000
CSX,42700000000
"Tokyo Century",42700000000
Mastercard,42600000000
"Saudi Telecom",42600000000
TELUS,42600000000
"Digital Realty Trust",42600000000
"CIFI Holdings Group",42500000000
"Korea Gas",42400000000
Vivendi,42300000000
"ASML Holding",42200000000
"AmBank Group",42200000000
"Norfolk Southern",42100000000
"MGM Resorts",42100000000
"Rithm Capital",42100000000
Orsted,42000000000
"Meituan ",41900000000
"Naturgy Energy Group",41900000000
"L3Harris Technologies",41800000000
Eiffage,41800000000
"International Airlines",41600000000
"Tianshan Material",41600000000
"Mitsubishi Heavy Industries",41300000000
"China Resources Power",41300000000
Ameren,41300000000
ABB,41100000000
"BAE Systems",40900000000
"ACS Actividades de Construccion y Servicios",40900000000
"Mitsubishi Electric",40800000000
"Carrier Global",40800000000
Aon,40800000000
Continental,40800000000
JBS,40800000000
"Larsen & Toubro",40700000000
"Cenovus Energy",40600000000
"Publicis Groupe",40600000000
"Beijing-Shanghai High-Speed Railway",40600000000
"Liberty Global",40600000000
Paccar,40400000000
"Arab Bank",40400000000
"Mitsubishi Chemical",40300000000
"Daou Data",40300000000
"Rolls-Royce Holdings",40200000000
Etisalat,40200000000
HeidelbergCement,40200000000
"CenterPoint Energy",40200000000
"China Eastern Airlines",40100000000
"Daou Technology",39900000000
Blackstone,39700000000
Uber,39600000000
PPL,39600000000
"Kweichow Moutai",39500000000
"Lenovo Group",39500000000
Stryker,39400000000
"Hangzhou Binjiang Real Estate Group Co., Ltd.",39200000000
Lennar,39000000000
"SDIC Power Holdings",39000000000
"Hubei Biocause Pharmaceutical",39000000000
"Michelin Group",38900000000
"Emaar Properties",38900000000
"Harel Insurance Investments & Financial Services",38700000000
"Wanhua Chemical Group",38600000000
"Shanghai Electric Group",38600000000
Eaton,38500000000
"Bank Albilad",38300000000
"Stifel Financial",38300000000
"Vistra Energy",38200000000
"Crown Castle International",38200000000
"Banca Transilvania",38200000000
"Intact Financial",38100000000
DSM-Firmenich,38100000000
"Federal Bank",38100000000
Kubota,38000000000
"JFE Holdings",38000000000
Canon,37900000000
"Kyushu Electric Power",37800000000
BBMG,37800000000
"Hengli Petrochemical",37700000000
"DuPont De Nemours",37700000000
"Alexandria Real Estate Equities",37700000000
"Tyson Foods",37500000000
"Air France-KLM",37500000000
Nike,37400000000
CSL,37300000000
Komatsu,37200000000
"Baker Hughes Company",37100000000
Snam,37100000000
Bridgestone,36900000000
FinecoBank,36800000000
"Bank of Maharashtra",36800000000
"Boston Scientific",36700000000
"LyondellBasell Industries",36600000000
"Everbright Securities",36600000000
"Altria Group",36500000000
"Bank Muscat",36400000000
"Saudi Investment Bank",36400000000
"Military Commercial Joint Stock Bank",36300000000
"BAC Holding International",36300000000
"Couche Tard",36200000000
"Imperial Brands",36100000000
"CJ Corporation",36100000000
HBIS,36100000000
"George Weston",36000000000
"Southwest Airlines",36000000000
"Bank OZK",36000000000
"Air Products & Chemicals",35900000000
"Fidelity National Information (FIS)",35900000000
Alstom,35900000000
HP,35800000000
"Grupo Mexico",35800000000
"Haier Smart Home",35700000000
"Asahi Group Holdings",35700000000
"Vietnam Technological & Commercial Joint Stock Bank",35700000000
Inditex,35600000000
"Suzuki Motor",35600000000
"Turkish Airlines",35600000000
Block,35600000000
"Tohoku Electric Power",35600000000
"East Money Information  ",35600000000
"Momentum Metropolitan Holdings",35600000000
"Halyk Bank",35500000000
"Royal Caribbean Group",35200000000
"CEZ Group",35200000000
"Commercial Bank Dubai",35100000000
Henkel,35000000000
Scor,35000000000
Acciona,35000000000
"Logan Property Holdings",35000000000
"Texas Instruments",34900000000
"QBE Insurance Group",34900000000
"LIC Housing Finance",34900000000
"China Resources Pharmaceutical Group",34800000000
"Anhui Conch Cement",34700000000
"Reckitt Benckiser Group",34600000000
"Volvo Car",34600000000
SingTel,34500000000
"D.R. Horton",34400000000
"Regeneron Pharmaceuticals",34400000000
WPP,34300000000
"Shin-Etsu Chemical",34000000000
Nucor,33900000000
Leonardo,33900000000
"CMS Energy",33900000000
"Dollar General",33700000000
"Simon Property Group",33700000000
Forvia,33700000000
"W. R. Berkley",33600000000
"Avis Budget Group",33500000000
"Singapore Airlines",33400000000
"ThyssenKrupp Group",33300000000
"Lumen Technologies",33200000000
"Vietnam Prosperity Joint-sock Commercial Bank",33200000000
"Idemitsu Kosan",33100000000
"Caesars Entertainment",33100000000
"Cincinnati Financial",33000000000
"Franklin Resources",32900000000
Philips,32800000000
"Sichuan Road & Bridge",32800000000
"China Longyuan Power",32800000000
"Waste Management",32700000000
"Magna International",32700000000
"Tata Steel",32700000000
"Link REIT",32400000000
