Name,Gap
"BBVA-Banco Bilbao Vizcaya",66200000000
"GE Aerospace",66000000000
"Bank of Communications",65700000000
"Wilmar International",65700000000
MetLife,65200000000
"Couche Tard",65100000000
"Munich Re",65000000000
"KoÃ§ Holding",64400000000
"Dai-ichi Life Insurance",63900000000
"Mitsubishi UFJ Financial",63700000000
"State Bank of India",63700000000
"China Vanke",63600000000
Hitachi,63200000000
"Deutsche Bank",63100000000
"Lockheed Martin",62800000000
"ItaÃº Unibanco Holding",61200000000
"HCA Healthcare",61200000000
"Zurich Insurance Group",61000000000
"American Express",60600000000
"Repsol ",60400000000
Bouygues,60000000000
Progressive,59200000000
"Merck & Co.",58800000000
"Idemitsu Kosan",58700000000
"Banco Bradesco",58600000000
"Seazen Group",58200000000
Accenture,57600000000
Unilever,57500000000
"Nippon Steel ",57500000000
Allstate,57200000000
"Prudential Financial",56800000000
"Daimler Truck Holding",56500000000
"China Energy Engineering",56500000000
Posco,56300000000
"Banco do Brasil",56100000000
Caterpillar,55800000000
Panasonic,55700000000
Bunge,55700000000
"Sumitomo Mitsui Financial",54600000000
"Bayer ",54400000000
Renault,54200000000
"Anheuser-Busch InBev",54100000000
"Delta Air Lines",54000000000
IBM,53900000000
"Roche Holding",52500000000
UBS,52400000000
Talanx,52100000000
"United Airlines Holdings",52100000000
"British American Tobacco",51800000000
"Bristol Myers Squibb",51600000000
Intel,51100000000
"Bharat Petroleum",50900000000
"Mizuho Financial",50400000000
"China Merchants Bank",50300000000
"Charter Communications",50000000000
"China Unicom",50000000000
"Bank of Montreal",49900000000
"TJX Cos",49700000000
HP,49700000000
"Yara International",49500000000
"John Deere",49100000000
"Tata Motors",49100000000
Saint-Gobain,48900000000
Woolworths,48900000000
AbbVie,48400000000
"Midea Group",48400000000
Softbank,48400000000
"Industrial Bank ",48300000000
"Contemporary Amperex Technology",48100000000
"BHP Group",48000000000
"Veolia Environnement",48000000000
"Bank of Nova Scotia",47800000000
MÃ¸ller-Maersk,47500000000
"Volvo Group",47300000000
Denso,47200000000
"Greenland Holdings Group",47100000000
Marubeni,46800000000
"Baoshan Iron & Steel",46800000000
"Poly Developments & Holdings Group",46600000000
Nike,46400000000
"Swiss Re ",46200000000
"Capital One",45900000000
"Tokyo Electric Power",45900000000
Orange,45300000000
Sumitomo,45100000000
"China Life Insurance",45000000000
"China Citic Bank",44700000000
ConocoPhillips,44500000000
"Shanghai Pudong Development",44400000000
"Taiwan Semiconductor",44200000000
"American International Group",44200000000
"George Weston",44000000000
"Rio Tinto",43900000000
Iberdrola,43900000000
"Tokio Marine Holdings",43600000000
"Warner Bros. Discovery",43600000000
"AmÃ©rica MÃ³vil",43400000000
"Cisco Systems",43300000000
"China Pacific Insurance",42800000000
Chubb,42400000000
Dow,42300000000
"Best Buy",42300000000
"Magna International",42100000000
Oracle,41900000000
Aviva,41900000000
"Hyundai Mobis",41700000000
"HDFC Bank",41600000000
AstraZeneca,41300000000
"ThyssenKrupp Group",41200000000
"Sanofi ",40800000000
Femsa,40800000000
"MS&AD Insurance",40500000000
CNOOC,39900000000
Travelers,39800000000
"General Dynamics",39700000000
3M,39700000000
"China Minsheng Bank",39400000000
"China Shenhua Energy",39300000000
"Datang International Power",39000000000
Vodafone,38600000000
"LyondellBasell Industries",38500000000
BASF,38500000000
"Compass Group",38400000000
"Canadian Imperial Bank",38200000000
"OMV Group",38100000000
"Northrop Grumman",37900000000
L'OrÃ©al,37800000000
"Deutsche Lufthansa",37300000000
Uber,37200000000
"Zijin Mining Group",37100000000
"Meituan ",37000000000
"Dollar General",37000000000
"Siemens Energy",37000000000
"Standard Chartered",36800000000
"Thermo Fisher Scientific",36500000000
"ANZ Group Holdings",36300000000
"Volvo Car",36300000000
"US Bancorp",36200000000
"St. James's Place",36200000000
"Cenovus Energy",36100000000
"PBF Energy",35800000000
"Xiaomi  ",35700000000
KDDI,35400000000
"S.F. Holding",35400000000
Coca-Cola,35300000000
"Suzuki Motor",35300000000
"China Everbright Bank",34800000000
"Molina Healthcare",34800000000
"AVIC Capital",34800000000
"Abbott Laboratories",34700000000
"Truist Financial",34600000000
"Schneider Electric",34500000000
"Haier Smart Home",34500000000
"Mitsubishi Electric",34400000000
"JFE Holdings",34400000000
"NAB - National Australia Bank",34100000000
Vale,34000000000
"Fairfax Financial",34000000000
"Daiwa House Industry",33900000000
"SK Hynix",33900000000
"KB Financial Group",33800000000
Novartis,33500000000
"Intesa Sanpaolo Assicura",33100000000
Inditex,33100000000
GSK,33000000000
"Quanta Computer",32900000000
"Bank of New York Mellon",32800000000
"Commonwealth Bank",32500000000
SAP,32400000000
Starbucks,32300000000
"CK Hutchison",32200000000
"D.R. Horton",32100000000
Cummins,32100000000
"Mazda Motor",32000000000
"Vibra Energia",32000000000
"Mondelez International",31800000000
CRH,31800000000
Heineken,31500000000
"Honeywell International",31200000000
NVIDIA,31100000000
Lennar,31100000000
"Westpac Banking Group",31000000000
"Luxshare Precision Industry",31000000000
"Suncor Energy",30900000000
Salesforce,30800000000
"China Resources Land",30800000000
"Mitsubishi Heavy Industries",30700000000
CRRC,30700000000
"Hengli Petrochemical",30700000000
"Jabil Circuit",30600000000
"Samsung C&T",30500000000
Paccar,30300000000
"Jio Financial Services",30200000000
Nucor,29900000000
"HF Sinclair",29900000000
"Mercuries & Associates",29900000000
"Eli Lilly",29800000000
SLB,29800000000
"Subaru Corporation",29800000000
"Power Corp of Canada",29500000000
"Sumitomo Electric",29400000000
"Apollo Global Management",29300000000
AECOM,29100000000
Sompo,29000000000
"International Airlines",28900000000
ABB,28700000000
"Weichai Power",28700000000
"NatWest Group",28600000000
"Daikin Industries",28600000000
Netflix,28500000000
"Michelin Group",28500000000
Medtronic,28100000000
Ecopetrol,28100000000
Qualcomm,28000000000
"Qatar National Bank",28000000000
Centrica,28000000000
"China Grand Automotive Services",28000000000
"Philip Morris International",27800000000
Bridgestone,27800000000
Nomura,27700000000
Ferguson,27600000000
"Cathay Financial",27400000000
Broadcom,27300000000
"Lloyds Banking Group",27300000000
"PNC Financial Services",27200000000
Wesfarmers,27200000000
Enbridge,27100000000
Canon,27100000000
Flex,27100000000
"NRG Energy",26900000000
Holcim,26700000000
"KBC Group",26600000000
Linde,26500000000
"Air Liquide",26500000000
Barclays,26400000000
"BAE Systems",26400000000
Ericsson,26400000000
"PDD Holdings",26300000000
"Duke Energy",26200000000
"Hewlett Packard Enterprise",26200000000
PayPal,26100000000
"RWE Group",26100000000
Amgen,25600000000
"Shinhan Financial Group",25500000000
"Johnson Controls International",25100000000
"Larsen & Toubro",25100000000
"Rite Aid",25100000000
EssilorLuxottica,25000000000
"Kansai Electric Power",25000000000
"Hindalco Industries",25000000000
"Fubon Financial",24900000000
"Toyota Industries",24900000000
"Lumen Technologies",24900000000
"Baker Hughes Company",24400000000
"China Coal Energy",24400000000
Coupang,24400000000
"Gree Electric Appliances",24300000000
"CMOC Group",24300000000
Fujitsu,24200000000
Komatsu,24100000000
"Kuehne & Nagel International",24100000000
"MOL Hungarian Oil",24000000000
"PGE Polska Grupa Energetyczna",24000000000
Banorte,23900000000
"Kraft Heinz Company",23800000000
"AIA Group",23700000000
"Great Wall Motor ",23700000000
"Tata Consultancy Services",23600000000
"Longfor Group Holdings",23600000000
"Associated British Foods",23400000000
"Sunac China Holdings",23300000000
"ICICI Bank",23200000000
"Occidental Petroleum",23100000000
Commerzbank,23100000000
"BT Group",23100000000
Eiffage,23100000000
Manulife,23000000000
"Danske Bank",23000000000
NEC,23000000000
"Nordea Bank",22900000000
"Vestas Wind Systems",22900000000
"Erste Group Bank",22800000000
Neste,22800000000
"Novo Nordisk",22500000000
"Wanhua Chemical Group",22500000000
Capgemini,22500000000
"Naturgy Energy Group",22400000000
Echostar,22400000000
"Hartford Financial Services",22300000000
Freeport-McMoRan,22200000000
"Chubu Electric Power",22200000000
"Isuzu Motors",22200000000
"Micron Technology",22100000000
Safran,21900000000
Henkel,21900000000
"CNH Industrial",21900000000
Danaher,21800000000
"Carrier Global",21800000000
"Genuine Parts",21800000000
PG&E,21700000000
"Advanced Micro Devices",21700000000
"Shanghai Electric Group",21700000000
"Huaxia Bank",21600000000
"Cosco Shipping",21400000000
"Southern Company",21200000000
"Marriott International",21200000000
"Recruit Holdings ",21200000000
"Canadian Natural Resources",20900000000
"Sun Life Financial",20900000000
"Galp Energia",20900000000
"Charles Schwab",20800000000
HeidelbergCement,20800000000
"ASML Holding",20600000000
Sherwin-Williams,20600000000
Halliburton,20500000000
"Sekisui House",20500000000
"NN Group",20400000000
"YPF ",20400000000
Eaton,20300000000
"QBE Insurance Group",20300000000
"Poste Italiane",20200000000
"Imperial Brands",20200000000
CaixaBank,20000000000
"JSW Steel",20000000000
CDW,20000000000
Exelon,19900000000
DSV,19900000000
Richemont,19800000000
"Merck KGaA, Darmstadt, Germany and its affiliates",19600000000
"Constellation Energy",19600000000
"Marsh McLennan",19400000000
"Saudi Electricity",19400000000
"Discover Financial Services",19300000000
"Applied Materials",19200000000
"Telecom Italia",19200000000
"Hana Financial Group",19100000000
"Shaanxi Coal Industry",19100000000
"Intact Financial",19100000000
Kubota,19100000000
"Sumitomo Chemical",19100000000
"L3Harris Technologies",19000000000
NTPC,18800000000
Thales,18800000000
"Fujifilm Holdings",18800000000
DBS,18700000000
KKR,18600000000
Kimberly-Clark,18600000000
"Ross Stores",18500000000
"Grupo Galicia",18500000000
"LG Display",18500000000
"Corebridge Financial",18400000000
"Becton Dickinson",18400000000
"Asahi Group Holdings",18400000000
"Anhui Conch Cement",18400000000
"Tenet Healthcare",18300000000
"Waste Management",18200000000
"Mitsubishi Motors",18200000000
"New Hope Liuhe",18200000000
Kering,18000000000
"Coca-Cola Europacific Partners",18000000000
"Fidelity National Information (FIS)",18000000000
"GE HealthCare Technologies",17900000000
"Tohoku Electric Power",17900000000
"Fast Retailing",17800000000
"Union Pacific",17700000000
Stryker,17600000000
"General Mills",17600000000
"ASE Technology Holding",17600000000
"Rolls-Royce Holdings",17500000000
"East Japan Railway",17500000000
"Macquarie Group",17400000000
"Woori Financial Group",17400000000
"China Hongqiao Group",17300000000
"Grupo Bolivar",17300000000
McDonald's,17200000000
"Booking Holdings",17200000000
Colgate-Palmolive,17200000000
Cognizant,17200000000
"Tokyo Gas",17200000000
"China Eastern Airlines",17200000000
Orix,17100000000
Aptiv,17100000000
Sharp,17100000000
Parker-Hannifin,17000000000
BCE,16900000000
"American Electric",16800000000
"Japan Tobacco",16800000000
"State Street",16800000000
"New China Life Insurance",16800000000
"PPG ",16800000000
Rakuten,16700000000
"ING Group",16600000000
Carlsberg,16600000000
"NextEra Energy",16500000000
"First Abu Dhabi Bank",16500000000
"Bank Of Jiangsu",16500000000
"Synchrony Financial",16500000000
Diageo,16400000000
Fiserv,16200000000
"Reckitt Benckiser Group",16200000000
"Steel Dynamics",16200000000
"EOG Resources",16100000000
Baidu,16100000000
"Samsung Life Insurance",16100000000
"China Zheshang Bank",16100000000
ZTE,16100000000
Visa,16000000000
"National Grid",16000000000
"Trane Technologies",16000000000
"United Overseas Bank",15900000000
"Saudi Telecom",15900000000
"Edp-energias De Portugal",15900000000
"Bank of Beijing",15800000000
"Li Auto",15800000000
"Newmont ",15800000000
UniCredit,15700000000
"National Bank of Canada",15700000000
"Yamaha Motor",15700000000
Oneok,15600000000
"Inner Mongolia Yili ",15600000000
"Samsung SDI",15600000000
"Builders FirstSource",15600000000
Infosys,15400000000
"Mahindra & Mahindra",15400000000
"Lincoln National",15400000000
"Viva Energy Group",15300000000
"Automatic Data Processing",15200000000
AutoZone,15200000000
"Ford Otosan",15200000000
Braskem,15200000000
Adobe,15100000000
"DNB Bank",15000000000
"Canara Bank",15000000000
VakifBank,15000000000
"Banco Btg Pactual",14900000000
"Svenska Handelsbanken",14900000000
"Mitsui Fudosan",14900000000
"Nippon Yusen",14900000000
"GAIL India",14900000000
"Bank of Baroda",14800000000
Loews,14800000000
"WW Grainger",14800000000
"Targa Resources",14800000000
"Air Canada",14800000000
"Vipshop Holdings",14800000000
MercadoLibre,14700000000
Isbank,14600000000
"Publicis Groupe",14600000000
"Emirates NBD",14500000000
"Turkish Airlines",14400000000
"Yankuang Energy Group",14300000000
"Infineon Technologies",14100000000
Markel,14100000000
Aflac,14000000000
"SEB AB",14000000000
Kenvue,14000000000
Mastercard,13900000000
"Atlas Copco",13900000000
Ecolab,13900000000
"CEZ Group",13900000000
"International Flavors & Fragrances",13900000000
Telstra,13800000000
"Punjab National Bank",13700000000
IQVIA,13700000000
"Raiffeisen Bank International",13700000000
"O'Reilly Automotive",13700000000
PulteGroup,13700000000
"Sichuan Road & Bridge",13700000000
"Principal Financial Group",13600000000
"Industrial Bank of Korea",13600000000
"Tractor Supply",13600000000
"Kyushu Electric Power",13600000000
"Axis Bank",13500000000
"Ameriprise Financial",13500000000
"Western Digital",13500000000
"Oversea-Chinese Banking",13400000000
"Republic Services",13400000000
"Omnicom Group",13400000000
"Coal India",13300000000
Essity,13300000000
BlackRock,13200000000
"Grupa PZU",13200000000
"Reliance Steel",13200000000
"Delivery Hero",13200000000
"Shin-Etsu Chemical",13100000000
"All Nippon Airways",13100000000
"Illinois Tool Works",13000000000
"Flutter Entertainment",13000000000
"Boston Scientific",12900000000
"Otis Worldwide",12900000000
"Unipol Gruppo",12900000000
AGCO,12900000000
"Fortescue Metals Group",12800000000
STMicroelectronics,12800000000
"Kinder Morgan",12700000000
"Dominion Energy",12700000000
"Keurig Dr Pepper",12700000000
"Consolidated Edison",12700000000
Inpex,12700000000
Haleon,12700000000
"Zhejiang Zheneng Electric Power",12700000000
"Royal Caribbean Group",12600000000
"Union Bank of India",12600000000
"Asr Nederland",12600000000
"HAL Trust",12600000000
"Qantas Airways",12600000000
"Everest Re Group",12500000000
"Samsung Fire & Marine",12500000000
"Woodside Energy Group",12400000000
"TE Connectivity",12400000000
"Cheniere Energy",12300000000
Intuit,12300000000
Fox,12300000000
"Bank of Ningbo",12200000000
TAQA,12200000000
Etisalat,12200000000
"Raymond James Financial",12200000000
MediaTek,12100000000
"Equitable Holdings",12100000000
Akbank,12100000000
"Singapore Airlines",12100000000
"Assa Abloy",12100000000
TBEA,12100000000
"Gerdau (Cosigua)",12100000000
"Altria Group",12000000000
"First Citizens Bank (NC)",12000000000
"Xcel Energy",12000000000
"Swiss Life Holding",12000000000
"United Rentals",12000000000
"Ryanair Holdings",12000000000
"Dick's Sporting Goods",12000000000
"China Tower Corp.",11900000000
"Bank Of Shanghai",11800000000
"Devon Energy",11800000000
FirstEnergy,11800000000
"China Resources Power",11800000000
"Delta Electronics",11700000000
CSL,11600000000
Orsted,11500000000
"Shimao Property Holdings",11500000000
"CTBC Financial Holding",11400000000
HCLTech,11400000000
Quinenco,11400000000
"CIFI Holdings Group",11400000000
Sika,11300000000
"Unum Group",11300000000
Ageas,11200000000
Aon,11100000000
"Grupo Mexico",11100000000
"Citizens Financial Group",11100000000
Moderna,11100000000
"The Saudi National Bank",11000000000
"Bank Rakyat Indonesia (BRI)",11000000000
CSX,11000000000
"W. R. Berkley",11000000000
"Texas Instruments",10900000000
"Fifth Third Bank",10900000000
"Molson Coors Brewing",10900000000
"Db Insurance",10900000000
Kone,10900000000
Amphenol,10800000000
"Super Micro Computer",10800000000
"Avis Budget Group",10800000000
"Cathay Pacific Airways",10800000000
NIO,10800000000
Sempra,10700000000
"Citic Securities",10700000000
"DTE Energy",10700000000
Tenaris,10700000000
Swedbank,10600000000
"Lam Research",10600000000
"Norfolk Southern",10600000000
Hikvision,10600000000
"Universal Music Group",10600000000
"M&T Bank",10500000000
"NXP Semiconductors",10500000000
Swisscom,10500000000
Sandvik,10500000000
NetEase,10400000000
"Pernod Ricard",10400000000
"Liberty Global",10400000000
"Zall Smart Commerce Group",10400000000
FirstRand,10300000000
"El Puerto de Liverpool",10300000000
"Tokyo Electron",10200000000
"Darden Restaurants",10200000000
"Barrick Gold",10100000000
"Teck Resources",10100000000
"S&P Global",10000000000
"CGN Power",10000000000
"Murata Manufacturing",10000000000
"Absa Group",10000000000
Entergy,9900000000
"Ulta Beauty",9900000000
"HermÃ¨s International",9800000000
"Banco de Sabadell",9800000000
Bancolombia,9800000000
"Interpublic Group",9800000000
"Al Rajhi Bank",9700000000
"Air Products & Chemicals",9700000000
"Daiichi Sankyo",9700000000
SSAB,9700000000
Colruyt,9700000000
Hess,9600000000
"Las Vegas Sands",9600000000
Vonovia,9600000000
"Jinke Property Group",9600000000
"Mitsui OSK Lines",9500000000
Wipro,9500000000
CGI,9500000000
"LPL Financial Holdings",9500000000
Gallagher,9400000000
"Daqin Railway",9400000000
"Arch Capital Group",9300000000
"TC Energy",9300000000
"Huntington Bank",9300000000
"The Hershey Company",9300000000
"Hilton Worldwide Holdings",9300000000
"Origin Energy",9300000000
Fortum,9300000000
"International Holding Company",9200000000
"Regeneron Pharmaceuticals",9200000000
"Kotak Mahindra Bank",9200000000
Prudential,9200000000
RELX,9200000000
"Mitsubishi Estate",9200000000
"Canadian National Railway",9100000000
"American Tower",9100000000
Maybank,9100000000
"Central Japan Railway",9100000000
"Ashtead Group",9100000000
"New York Community Bancorp",9100000000
"PTT Global Chemical",9100000000
"Take-Two Interactive Software",9000000000
"Bank of Nanjing",8900000000
"OTP Bank",8900000000
"SM Investments",8900000000
"Chipotle Mexican Grill",8900000000
"Analog Devices",8800000000
"China National Nuclear Power",8800000000
"Motorola Solutions",8800000000
"Toll Brothers",8800000000
"Power Finance",8700000000
Celanese,8700000000
Ovintiv,8700000000
Alcon,8600000000
WTW,8600000000
"Sungrow Power Supply  ",8600000000
"Global Payments",8500000000
Sampo,8500000000
"Owens Corning",8500000000
"Swire Pacific",8400000000
"Meritz Financial Group",8400000000
"Constellation Brands",8300000000
"Cincinnati Financial",8300000000
"Grupo De Inversiones Suramericana",8300000000
Nintendo,8200000000
"PKO Bank Polski",8200000000
SingTel,8200000000
"Banco BPM",8200000000
"Huishang Bank",8200000000
"Telkom Indonesia",8200000000
Blackstone,8100000000
"Bank of Ireland",8100000000
Biogen,8100000000
"Bank Mandiri",8000000000
"Bank Leumi",8000000000
"Lululemon Athletica",8000000000
"Evergreen Marine Corp. (Taiwan)",8000000000
"Public Service Enterprise Group",7900000000
"Renesas Electronics",7900000000
Cintas,7900000000
NVR,7900000000
"Logan Property Holdings",7900000000
"Bank Of Hangzhou",7800000000
Kasikornbank,7800000000
Legrand,7800000000
"Rockwell Automation",7800000000
Solvay,7800000000
"Guangzhou R&F",7800000000
"Kweichow Moutai",7700000000
"Abu Dhabi Commercial Bank",7700000000
ServiceNow,7600000000
Verbund,7600000000
IntercontinentalExchange,7500000000
"Kuwait Finance House",7500000000
eBay,7500000000
"Nexi S.p.A.",7500000000
"Regions Financial",7400000000
"Bank Hapoalim",7400000000
"Anta Sports Products",7400000000
"Canadian Pacific Kansas City",7300000000
Williams,7300000000
"WEC Energy Group",7300000000
"Fortis (Canada)",7200000000
"RenaissanceRe Holdings",7200000000
"First Quantum Minerals",7100000000
KLA,7000000000
Dover,7000000000
"Brookfield Reinsurance",7000000000
"CPFL Energia",7000000000
"China Yangtze Power",6900000000
Solventum,6900000000
"Nu Holdings",6800000000
"Indian Bank",6800000000
"CIMB Group Holdings",6500000000
Naver,6400000000
"NARI Technology Development",6400000000
"Chongqing Zhifei Biological Products",6400000000
"Schweizerische Nationalbank",6300000000
Zoetis,6300000000
"BPER Banca",6300000000
"Vertex Pharmaceuticals",6200000000
Ameren,6200000000
"Electronic Arts",6200000000
Fastenal,6200000000
"Companhia Energetica de Minas Gerais",6200000000
"Sun Hung Kai Properties",6100000000
"Chongqing Rural Bank",6100000000
Snap,6100000000
"National Bank of Kuwait ",6000000000
ITC,6000000000
"ON Semiconductor Corp.",6000000000
"Restaurant Brands International",6000000000
"Bangkok Bank",6000000000
"Wuliangye Yibin",5900000000
"TransDigm Group",5900000000
"Suzano ",5900000000
"Chunghwa Telecom",5900000000
Experian,5900000000
"Huatai Securities",5800000000
"Grupo Inbursa",5800000000
Workday,5800000000
Next,5800000000
"Microchip Technology",5700000000
Credicorp,5700000000
"IndusInd Bank",5600000000
"Monster Beverage",5600000000
"Diamondback Energy",5500000000
"Sumitomo Realty",5500000000
"Mizrahi Tefahot Bank",5500000000
"Agilent Technologies",5500000000
APA,5500000000
WEG,5500000000
"Lamb Weston Holdings",5500000000
"Crown Castle International",5400000000
"Yum! Brands",5400000000
Ametek,5400000000
"Bank of Changsha",5400000000
"Israel Discount Bank",5400000000
SQM,5400000000
AirBnB,5300000000
"Standard Bank Group",5300000000
"Shanghai Rural Commercial Bank",5300000000
"Intuitive Surgical",5300000000
"Dassault Systemes",5300000000
"United Microelectronics",5300000000
"China Fortune Land Development",5300000000
